,Training Files,Training Labels
2177,data\go\21e8c417_nohash_0.wav,go
2178,data\go\21e8c417_nohash_1.wav,go
2179,data\go\21e8c417_nohash_2.wav,go
2180,data\go\2275edbb_nohash_0.wav,go
2181,data\go\2275edbb_nohash_1.wav,go
2182,data\go\2296b1af_nohash_0.wav,go
2183,data\go\229978fd_nohash_0.wav,go
2184,data\go\229978fd_nohash_1.wav,go
2185,data\go\229978fd_nohash_2.wav,go
2186,data\go\229978fd_nohash_3.wav,go
2187,data\go\229978fd_nohash_4.wav,go
2188,data\go\2313e093_nohash_0.wav,go
2189,data\go\2313e093_nohash_1.wav,go
2190,data\go\2335770e_nohash_0.wav,go
2191,data\go\2335770e_nohash_1.wav,go
2192,data\go\23abe1c9_nohash_0.wav,go
2193,data\go\23abe1c9_nohash_1.wav,go
2194,data\go\23ad12d8_nohash_0.wav,go
2195,data\go\24632875_nohash_0.wav,go
2196,data\go\24694eb6_nohash_0.wav,go
2197,data\go\24ad3ebe_nohash_0.wav,go
2198,data\go\24b82192_nohash_0.wav,go
2199,data\go\24befdb3_nohash_0.wav,go
2200,data\go\24befdb3_nohash_1.wav,go
2201,data\go\24befdb3_nohash_2.wav,go
2202,data\go\24befdb3_nohash_3.wav,go
2203,data\go\24befdb3_nohash_4.wav,go
2204,data\go\25040e85_nohash_0.wav,go
2205,data\go\25040e85_nohash_1.wav,go
2206,data\go\25040e85_nohash_2.wav,go
2207,data\go\2510c044_nohash_0.wav,go
2208,data\go\25132942_nohash_0.wav,go
2209,data\go\25132942_nohash_1.wav,go
2210,data\go\25132942_nohash_2.wav,go
2211,data\go\25132942_nohash_3.wav,go
2212,data\go\25132942_nohash_4.wav,go
2213,data\go\257251e0_nohash_0.wav,go
2214,data\go\257251e0_nohash_1.wav,go
2215,data\go\2579e514_nohash_0.wav,go
2216,data\go\2579e514_nohash_1.wav,go
2217,data\go\257e17e0_nohash_0.wav,go
2218,data\go\2589f361_nohash_0.wav,go
2219,data\go\258f4559_nohash_0.wav,go
2220,data\go\25c14394_nohash_0.wav,go
2221,data\go\264f471d_nohash_0.wav,go
2222,data\go\264f471d_nohash_1.wav,go
2223,data\go\264f471d_nohash_2.wav,go
2224,data\go\264f471d_nohash_3.wav,go
2225,data\go\264f471d_nohash_4.wav,go
2226,data\go\26b28ea7_nohash_0.wav,go
2227,data\go\26b28ea7_nohash_1.wav,go
2228,data\go\26b28ea7_nohash_2.wav,go
2229,data\go\26e573a9_nohash_0.wav,go
2230,data\go\26e573a9_nohash_1.wav,go
2231,data\go\26e573a9_nohash_2.wav,go
2232,data\go\26e9ae6b_nohash_0.wav,go
2233,data\go\26e9ae6b_nohash_1.wav,go
2234,data\go\274c008f_nohash_0.wav,go
2235,data\go\2796ac50_nohash_0.wav,go
2236,data\go\2796ac50_nohash_1.wav,go
2237,data\go\27b9a84f_nohash_0.wav,go
2238,data\go\28460a60_nohash_0.wav,go
2239,data\go\28497c5b_nohash_0.wav,go
2240,data\go\28612180_nohash_0.wav,go
2241,data\go\28ce0c58_nohash_0.wav,go
2242,data\go\28ce0c58_nohash_1.wav,go
2243,data\go\28ce0c58_nohash_2.wav,go
2244,data\go\28ce0c58_nohash_3.wav,go
2245,data\go\28ce0c58_nohash_4.wav,go
2246,data\go\28ce0c58_nohash_5.wav,go
2247,data\go\28ce0c58_nohash_6.wav,go
2248,data\go\28e47b1a_nohash_0.wav,go
2249,data\go\28e47b1a_nohash_1.wav,go
2250,data\go\28e47b1a_nohash_2.wav,go
2251,data\go\28e47b1a_nohash_3.wav,go
2252,data\go\28e47b1a_nohash_4.wav,go
2253,data\go\28ed6bc9_nohash_0.wav,go
2254,data\go\28ed6bc9_nohash_1.wav,go
2255,data\go\28ed6bc9_nohash_2.wav,go
2256,data\go\28ed6bc9_nohash_3.wav,go
2257,data\go\28ed6bc9_nohash_4.wav,go
2258,data\go\28ef2a01_nohash_0.wav,go
2259,data\go\28ef2a01_nohash_1.wav,go
2260,data\go\2903efb3_nohash_0.wav,go
2261,data\go\2903efb3_nohash_1.wav,go
2262,data\go\29b81b73_nohash_0.wav,go
2263,data\go\29fb33da_nohash_0.wav,go
2264,data\go\29fb33da_nohash_1.wav,go
2265,data\go\29fb33da_nohash_2.wav,go
2266,data\go\29fb33da_nohash_3.wav,go
2267,data\go\29fb33da_nohash_4.wav,go
2268,data\go\2a89ad5c_nohash_0.wav,go
2269,data\go\2aec99ec_nohash_0.wav,go
2270,data\go\2aec99ec_nohash_1.wav,go
2271,data\go\2bd2cad5_nohash_0.wav,go
2272,data\go\2bd2cad5_nohash_1.wav,go
2273,data\go\2bdbe5f7_nohash_0.wav,go
2274,data\go\2bdbe5f7_nohash_1.wav,go
2275,data\go\2bdbe5f7_nohash_2.wav,go
2276,data\go\2bdbe5f7_nohash_3.wav,go
2277,data\go\2bdbe5f7_nohash_4.wav,go
2278,data\go\2be08ce4_nohash_0.wav,go
2279,data\go\2bfe70ef_nohash_0.wav,go
2280,data\go\2c7c33e8_nohash_0.wav,go
2281,data\go\2ce7534c_nohash_0.wav,go
2282,data\go\2ce7534c_nohash_1.wav,go
2283,data\go\2cf28b70_nohash_0.wav,go
2284,data\go\2cf28b70_nohash_1.wav,go
2285,data\go\2d3c8dcb_nohash_0.wav,go
2286,data\go\2d82a556_nohash_0.wav,go
2287,data\go\2d92f18b_nohash_0.wav,go
2288,data\go\2da58b32_nohash_0.wav,go
2289,data\go\2da58b32_nohash_1.wav,go
2290,data\go\2da58b32_nohash_2.wav,go
2291,data\go\2da58b32_nohash_3.wav,go
2292,data\go\2da58b32_nohash_4.wav,go
2293,data\go\2dce72b3_nohash_0.wav,go
2294,data\go\2df590cd_nohash_0.wav,go
2295,data\go\2e73212b_nohash_0.wav,go
2296,data\go\2f0a410b_nohash_0.wav,go
2297,data\go\2f0a410b_nohash_1.wav,go
2298,data\go\2f813234_nohash_0.wav,go
2299,data\go\2f813234_nohash_1.wav,go
2300,data\go\2f813234_nohash_2.wav,go
2301,data\go\2fa39636_nohash_0.wav,go
2302,data\go\30065f33_nohash_0.wav,go
2303,data\go\30065f33_nohash_1.wav,go
2304,data\go\30137d34_nohash_0.wav,go
2305,data\go\30137d34_nohash_1.wav,go
2306,data\go\30137d34_nohash_2.wav,go
2307,data\go\30802c5d_nohash_0.wav,go
2308,data\go\30802c5d_nohash_1.wav,go
2309,data\go\30a09789_nohash_0.wav,go
2310,data\go\30f31e42_nohash_0.wav,go
2311,data\go\30f31e42_nohash_1.wav,go
2312,data\go\31270cb2_nohash_0.wav,go
2313,data\go\31270cb2_nohash_1.wav,go
2314,data\go\3143fdff_nohash_0.wav,go
2315,data\go\31583d30_nohash_0.wav,go
2316,data\go\31583d30_nohash_1.wav,go
2317,data\go\31d31fa0_nohash_0.wav,go
2318,data\go\31d31fa0_nohash_1.wav,go
2319,data\go\31e686d2_nohash_0.wav,go
2320,data\go\31e686d2_nohash_1.wav,go
2321,data\go\3209ec42_nohash_0.wav,go
2322,data\go\3209ec42_nohash_1.wav,go
2323,data\go\3209ec42_nohash_2.wav,go
2324,data\go\324210dd_nohash_0.wav,go
2325,data\go\324210dd_nohash_1.wav,go
2326,data\go\324210dd_nohash_2.wav,go
2327,data\go\324210dd_nohash_3.wav,go
2328,data\go\324210dd_nohash_4.wav,go
2329,data\go\32561e9e_nohash_0.wav,go
2330,data\go\325a0c39_nohash_0.wav,go
2331,data\go\327289eb_nohash_0.wav,go
2332,data\go\329eab8a_nohash_0.wav,go
2333,data\go\32a19ecf_nohash_0.wav,go
2334,data\go\32a19ecf_nohash_1.wav,go
2335,data\go\32a19ecf_nohash_2.wav,go
2336,data\go\32efce64_nohash_0.wav,go
2337,data\go\333784b7_nohash_0.wav,go
2338,data\go\333784b7_nohash_1.wav,go
2339,data\go\333784b7_nohash_2.wav,go
2340,data\go\333784b7_nohash_3.wav,go
2341,data\go\333784b7_nohash_4.wav,go
2342,data\go\3389305e_nohash_0.wav,go
2343,data\go\338a40d6_nohash_0.wav,go
2344,data\go\338dacf5_nohash_0.wav,go
2345,data\go\33903159_nohash_0.wav,go
2346,data\go\33f60c62_nohash_0.wav,go
2347,data\go\3402e488_nohash_0.wav,go
2348,data\go\3402e488_nohash_1.wav,go
2349,data\go\3402e488_nohash_2.wav,go
2350,data\go\3402e488_nohash_3.wav,go
2351,data\go\340c8b10_nohash_0.wav,go
2352,data\go\34263ab3_nohash_0.wav,go
2353,data\go\34263ab3_nohash_1.wav,go
2354,data\go\34881b10_nohash_0.wav,go
2355,data\go\34ba417a_nohash_0.wav,go
2356,data\go\34e8c726_nohash_0.wav,go
2357,data\go\35d1b6ee_nohash_0.wav,go
2358,data\go\35d1b6ee_nohash_1.wav,go
2359,data\go\35d1b6ee_nohash_2.wav,go
2360,data\go\35d1b6ee_nohash_3.wav,go
2361,data\go\35d1b6ee_nohash_4.wav,go
2362,data\go\36050ef3_nohash_0.wav,go
2363,data\go\36050ef3_nohash_1.wav,go
2364,data\go\36050ef3_nohash_2.wav,go
2365,data\go\36050ef3_nohash_3.wav,go
2366,data\go\36050ef3_nohash_4.wav,go
2367,data\go\363c6bad_nohash_0.wav,go
2368,data\go\364f979f_nohash_0.wav,go
2369,data\go\364f979f_nohash_1.wav,go
2370,data\go\364f979f_nohash_2.wav,go
2371,data\go\364f979f_nohash_3.wav,go
2372,data\go\36de13e1_nohash_0.wav,go
2373,data\go\36de13e1_nohash_1.wav,go
2374,data\go\370844f7_nohash_0.wav,go
2375,data\go\370844f7_nohash_1.wav,go
2376,data\go\370844f7_nohash_2.wav,go
2377,data\go\3777c08e_nohash_0.wav,go
2378,data\go\37b03ab1_nohash_0.wav,go
2379,data\go\37b03ab1_nohash_1.wav,go
2380,data\go\37dca74f_nohash_0.wav,go
2381,data\go\37dca74f_nohash_1.wav,go
2382,data\go\37dca74f_nohash_2.wav,go
2383,data\go\37dca74f_nohash_3.wav,go
2384,data\go\37dca74f_nohash_4.wav,go
2385,data\go\37e8db82_nohash_0.wav,go
2386,data\go\37e8db82_nohash_1.wav,go
2387,data\go\37fc5d97_nohash_0.wav,go
2388,data\go\3847619e_nohash_0.wav,go
2389,data\go\3847619e_nohash_1.wav,go
2390,data\go\3852fca2_nohash_0.wav,go
2391,data\go\3852fca2_nohash_1.wav,go
2392,data\go\38c30a4a_nohash_0.wav,go
2393,data\go\38c388bc_nohash_0.wav,go
2394,data\go\38d78313_nohash_0.wav,go
2395,data\go\38d78313_nohash_1.wav,go
2396,data\go\38d78313_nohash_2.wav,go
2397,data\go\38d78313_nohash_3.wav,go
2398,data\go\38d78313_nohash_4.wav,go
2399,data\go\3903b558_nohash_0.wav,go
2400,data\go\3903b558_nohash_1.wav,go
2401,data\go\39543cfd_nohash_0.wav,go
2402,data\go\39543cfd_nohash_1.wav,go
2403,data\go\3983ba0d_nohash_0.wav,go
2404,data\go\3983ba0d_nohash_1.wav,go
2405,data\go\3983ba0d_nohash_2.wav,go
2406,data\go\39999a0f_nohash_0.wav,go
2407,data\go\39999a0f_nohash_1.wav,go
2408,data\go\39a12648_nohash_0.wav,go
2409,data\go\39a12648_nohash_1.wav,go
2410,data\go\39a12648_nohash_2.wav,go
2411,data\go\39a12648_nohash_3.wav,go
2412,data\go\39a12648_nohash_4.wav,go
2413,data\go\39a45230_nohash_0.wav,go
2414,data\go\39a6b995_nohash_0.wav,go
2415,data\go\39a6b995_nohash_1.wav,go
2416,data\go\39c13eed_nohash_0.wav,go
2417,data\go\3a182c98_nohash_0.wav,go
2418,data\go\3a182c98_nohash_1.wav,go
2419,data\go\3a70ab7f_nohash_0.wav,go
2420,data\go\3a789a0d_nohash_0.wav,go
2421,data\go\3aa6f4e2_nohash_0.wav,go
2422,data\go\3aa6f4e2_nohash_1.wav,go
2423,data\go\3b852f6f_nohash_0.wav,go
2424,data\go\3b853f44_nohash_0.wav,go
2425,data\go\3bc21161_nohash_0.wav,go
2426,data\go\3bc21161_nohash_1.wav,go
2427,data\go\3bc21161_nohash_2.wav,go
2428,data\go\3bc21161_nohash_3.wav,go
2429,data\go\3bc21161_nohash_4.wav,go
2430,data\go\3bdf05d3_nohash_0.wav,go
2431,data\go\3bdf05d3_nohash_1.wav,go
2432,data\go\3bfd30e6_nohash_0.wav,go
2433,data\go\3bfd30e6_nohash_1.wav,go
2434,data\go\3bfd30e6_nohash_2.wav,go
2435,data\go\3bfd30e6_nohash_3.wav,go
2436,data\go\3bfd30e6_nohash_4.wav,go
2437,data\go\3c165869_nohash_0.wav,go
2438,data\go\3c165869_nohash_1.wav,go
2439,data\go\3c1e12cf_nohash_0.wav,go
2440,data\go\3c257192_nohash_0.wav,go
2441,data\go\3c257192_nohash_1.wav,go
2442,data\go\3c257192_nohash_2.wav,go
2443,data\go\3c257192_nohash_3.wav,go
2444,data\go\3c257192_nohash_4.wav,go
2445,data\go\3c6d55b3_nohash_0.wav,go
2446,data\go\3c6d55b3_nohash_1.wav,go
2447,data\go\3c6d55b3_nohash_2.wav,go
2448,data\go\3c8836dc_nohash_0.wav,go
2449,data\go\3c8836dc_nohash_1.wav,go
2450,data\go\3c8836dc_nohash_2.wav,go
2451,data\go\3ca784ec_nohash_0.wav,go
2452,data\go\3cdecb0b_nohash_0.wav,go
2453,data\go\3cfc6b3a_nohash_0.wav,go
2454,data\go\3d53244b_nohash_0.wav,go
2455,data\go\3d53244b_nohash_1.wav,go
2456,data\go\3d53244b_nohash_2.wav,go
2457,data\go\3d53244b_nohash_3.wav,go
2458,data\go\3d53244b_nohash_4.wav,go
2459,data\go\3d6bee47_nohash_0.wav,go
2460,data\go\3d6bee47_nohash_1.wav,go
2461,data\go\3d9200b9_nohash_0.wav,go
2462,data\go\3da7f617_nohash_0.wav,go
2463,data\go\3df9a3d4_nohash_0.wav,go
2464,data\go\3df9a3d4_nohash_1.wav,go
2465,data\go\3e31dffe_nohash_0.wav,go
2466,data\go\3e31dffe_nohash_1.wav,go
2467,data\go\3e31dffe_nohash_2.wav,go
2468,data\go\3e31dffe_nohash_3.wav,go
2469,data\go\3e31dffe_nohash_4.wav,go
2470,data\go\3e3fa7fd_nohash_0.wav,go
2471,data\go\3e3fa7fd_nohash_1.wav,go
2472,data\go\3e549219_nohash_0.wav,go
2473,data\go\3e549219_nohash_1.wav,go
2474,data\go\3e549219_nohash_2.wav,go
2475,data\go\3eb8764c_nohash_0.wav,go
2476,data\go\3ed3e49a_nohash_0.wav,go
2477,data\go\3efa7ec4_nohash_0.wav,go
2478,data\go\3efa7ec4_nohash_1.wav,go
2479,data\go\3f2b358d_nohash_0.wav,go
2480,data\go\3f2b358d_nohash_1.wav,go
2481,data\go\3f2b358d_nohash_2.wav,go
2482,data\go\3f2b358d_nohash_3.wav,go
2483,data\go\3f339c33_nohash_0.wav,go
2484,data\go\3fb8c268_nohash_0.wav,go
2485,data\go\3fb8c268_nohash_1.wav,go
2486,data\go\3ffa3457_nohash_0.wav,go
2487,data\go\40115b19_nohash_0.wav,go
2488,data\go\40115b19_nohash_1.wav,go
2489,data\go\409c962a_nohash_0.wav,go
2490,data\go\40b60ae9_nohash_0.wav,go
2491,data\go\40b60ae9_nohash_1.wav,go
2492,data\go\41285056_nohash_0.wav,go
2493,data\go\412c675c_nohash_0.wav,go
2494,data\go\413997c1_nohash_0.wav,go
2495,data\go\413bcfe1_nohash_0.wav,go
2496,data\go\41474817_nohash_0.wav,go
2497,data\go\41474817_nohash_1.wav,go
2498,data\go\41777abb_nohash_0.wav,go
2499,data\go\418e7158_nohash_0.wav,go
2500,data\go\418e7158_nohash_1.wav,go
2501,data\go\421ed23f_nohash_0.wav,go
2502,data\go\421ed23f_nohash_1.wav,go
2503,data\go\422d3197_nohash_0.wav,go
2504,data\go\4249c833_nohash_0.wav,go
2505,data\go\4249c833_nohash_1.wav,go
2506,data\go\4254621e_nohash_0.wav,go
2507,data\go\4254621e_nohash_1.wav,go
2508,data\go\4290ca61_nohash_0.wav,go
2509,data\go\4290ca61_nohash_1.wav,go
2510,data\go\4290ca61_nohash_2.wav,go
2511,data\go\4290ca61_nohash_3.wav,go
2512,data\go\42c6fff1_nohash_0.wav,go
2513,data\go\42ccb57a_nohash_0.wav,go
2514,data\go\42ccb57a_nohash_1.wav,go
2515,data\go\434a267c_nohash_0.wav,go
2516,data\go\434a267c_nohash_1.wav,go
2517,data\go\439c84f4_nohash_0.wav,go
2518,data\go\439c84f4_nohash_1.wav,go
2519,data\go\439c84f4_nohash_2.wav,go
2520,data\go\439c84f4_nohash_3.wav,go
2521,data\go\439c84f4_nohash_4.wav,go
2522,data\go\43b85b64_nohash_0.wav,go
2523,data\go\43fc47a7_nohash_0.wav,go
2524,data\go\44260689_nohash_0.wav,go
2525,data\go\44260689_nohash_1.wav,go
2526,data\go\44b5720d_nohash_0.wav,go
2527,data\go\44b5720d_nohash_1.wav,go
2528,data\go\44dad20e_nohash_0.wav,go
2529,data\go\44dad20e_nohash_1.wav,go
2530,data\go\44dad20e_nohash_2.wav,go
2531,data\go\44f68a83_nohash_0.wav,go
2532,data\go\45864319_nohash_0.wav,go
2533,data\go\459345ea_nohash_0.wav,go
2534,data\go\45adf84a_nohash_0.wav,go
2535,data\go\45adf84a_nohash_1.wav,go
2536,data\go\460f2bad_nohash_0.wav,go
2537,data\go\46114b4e_nohash_0.wav,go
2538,data\go\4620dc14_nohash_0.wav,go
2539,data\go\462e1919_nohash_0.wav,go
2540,data\go\4634529e_nohash_0.wav,go
2541,data\go\46a153d8_nohash_0.wav,go
2542,data\go\46a153d8_nohash_1.wav,go
2543,data\go\46a153d8_nohash_2.wav,go
2544,data\go\46a153d8_nohash_3.wav,go
2545,data\go\46a153d8_nohash_4.wav,go
2546,data\go\471a0925_nohash_0.wav,go
2547,data\go\471a0925_nohash_1.wav,go
2548,data\go\471a0925_nohash_2.wav,go
2549,data\go\471a0925_nohash_3.wav,go
2550,data\go\471a0925_nohash_4.wav,go
2551,data\go\47565088_nohash_0.wav,go
2552,data\go\47565088_nohash_1.wav,go
2553,data\go\47565088_nohash_2.wav,go
2554,data\go\47565088_nohash_3.wav,go
2555,data\go\479e64cc_nohash_0.wav,go
2556,data\go\483e2a6f_nohash_0.wav,go
2557,data\go\483e2a6f_nohash_1.wav,go
2558,data\go\483e2a6f_nohash_2.wav,go
2559,data\go\4845bb10_nohash_0.wav,go
2560,data\go\48463cbc_nohash_0.wav,go
2561,data\go\48463cbc_nohash_1.wav,go
2562,data\go\48463cbc_nohash_2.wav,go
2563,data\go\48a8a69d_nohash_0.wav,go
2564,data\go\48bdc11c_nohash_0.wav,go
2565,data\go\48bdc11c_nohash_1.wav,go
2566,data\go\48bfde8e_nohash_0.wav,go
2567,data\go\48e8b82a_nohash_0.wav,go
2568,data\go\4954abe8_nohash_0.wav,go
2569,data\go\49af4432_nohash_0.wav,go
2570,data\go\49af4432_nohash_1.wav,go
2571,data\go\49af4432_nohash_2.wav,go
2572,data\go\49af4432_nohash_3.wav,go
2573,data\go\49af4432_nohash_4.wav,go
2574,data\go\49f30eed_nohash_0.wav,go
2575,data\go\4a1e736b_nohash_0.wav,go
2576,data\go\4a1e736b_nohash_1.wav,go
2577,data\go\4a1e736b_nohash_2.wav,go
2578,data\go\4a1e736b_nohash_3.wav,go
2579,data\go\4a1e736b_nohash_4.wav,go
2580,data\go\4a294341_nohash_0.wav,go
2581,data\go\4a4e28f1_nohash_0.wav,go
2582,data\go\4a4e28f1_nohash_1.wav,go
2583,data\go\4abb2400_nohash_0.wav,go
2584,data\go\4abefdf5_nohash_0.wav,go
2585,data\go\4b25f620_nohash_0.wav,go
2586,data\go\4b39347d_nohash_0.wav,go
2587,data\go\4bba14ce_nohash_0.wav,go
2588,data\go\4beff0c5_nohash_0.wav,go
2589,data\go\4c13fe25_nohash_0.wav,go
2590,data\go\4c4d2526_nohash_0.wav,go
2591,data\go\4c4d2526_nohash_1.wav,go
2592,data\go\4c77947d_nohash_0.wav,go
2593,data\go\4cb874bb_nohash_0.wav,go
2594,data\go\4cb874bb_nohash_1.wav,go
2595,data\go\4def68db_nohash_0.wav,go
2596,data\go\4ec7d027_nohash_0.wav,go
2597,data\go\4ec7d027_nohash_1.wav,go
2598,data\go\4f086393_nohash_0.wav,go
2599,data\go\4f2ab70c_nohash_0.wav,go
2600,data\go\4f2ab70c_nohash_1.wav,go
2601,data\go\4f2be90f_nohash_0.wav,go
2602,data\go\4f5c0b28_nohash_0.wav,go
2603,data\go\4f5c0b28_nohash_1.wav,go
2604,data\go\4f781a59_nohash_0.wav,go
2605,data\go\4f781a59_nohash_1.wav,go
2606,data\go\4fd4d073_nohash_0.wav,go
2607,data\go\4fd4d073_nohash_1.wav,go
2608,data\go\4fd4d073_nohash_2.wav,go
2609,data\go\4fe01997_nohash_0.wav,go
2610,data\go\4fe01997_nohash_1.wav,go
2611,data\go\50033893_nohash_0.wav,go
2612,data\go\50928b05_nohash_0.wav,go
2613,data\go\50a7d406_nohash_0.wav,go
2614,data\go\50a8ef27_nohash_0.wav,go
2615,data\go\50d1c8e3_nohash_0.wav,go
2616,data\go\50d1c8e3_nohash_1.wav,go
2617,data\go\50ed8a7b_nohash_0.wav,go
2618,data\go\50f55535_nohash_0.wav,go
2619,data\go\50f55535_nohash_1.wav,go
2620,data\go\51055bda_nohash_0.wav,go
2621,data\go\51055bda_nohash_1.wav,go
2622,data\go\51055bda_nohash_2.wav,go
2623,data\go\51055bda_nohash_3.wav,go
2624,data\go\51055bda_nohash_4.wav,go
2625,data\go\5184ed3e_nohash_0.wav,go
2626,data\go\5195f0ec_nohash_0.wav,go
2627,data\go\51995cea_nohash_0.wav,go
2628,data\go\51f4d5b0_nohash_0.wav,go
2629,data\go\520b2c17_nohash_0.wav,go
2630,data\go\520b2c17_nohash_1.wav,go
2631,data\go\52bfbce8_nohash_0.wav,go
2632,data\go\52e228e9_nohash_0.wav,go
2633,data\go\530306f5_nohash_0.wav,go
2634,data\go\530306f5_nohash_1.wav,go
2635,data\go\531a5b8a_nohash_0.wav,go
2636,data\go\53458368_nohash_0.wav,go
2637,data\go\53458368_nohash_1.wav,go
2638,data\go\53578f4e_nohash_0.wav,go
2639,data\go\538e1856_nohash_0.wav,go
2640,data\go\53d5b86f_nohash_0.wav,go
2641,data\go\541120c7_nohash_0.wav,go
2642,data\go\541e4079_nohash_0.wav,go
2643,data\go\551e42e8_nohash_0.wav,go
2644,data\go\551e42e8_nohash_1.wav,go
2645,data\go\551e42e8_nohash_2.wav,go
2646,data\go\553f1a79_nohash_0.wav,go
2647,data\go\553f1a79_nohash_1.wav,go
2648,data\go\553f1a79_nohash_2.wav,go
2649,data\go\553f1a79_nohash_3.wav,go
2650,data\go\5588c7e6_nohash_0.wav,go
2651,data\go\55d3725a_nohash_0.wav,go
2652,data\go\5628d7b7_nohash_0.wav,go
2653,data\go\5628d7b7_nohash_1.wav,go
2654,data\go\5628d7b7_nohash_2.wav,go
2655,data\go\563aa4e6_nohash_0.wav,go
2656,data\go\563aa4e6_nohash_1.wav,go
2657,data\go\563aa4e6_nohash_2.wav,go
2658,data\go\563aa4e6_nohash_3.wav,go
2659,data\go\563aa4e6_nohash_4.wav,go
2660,data\go\5677ec77_nohash_0.wav,go
2661,data\go\569455ff_nohash_0.wav,go
2662,data\go\569455ff_nohash_1.wav,go
2663,data\go\56eab10e_nohash_0.wav,go
2664,data\go\56eab10e_nohash_1.wav,go
2665,data\go\56eab10e_nohash_2.wav,go
2666,data\go\56eb74ae_nohash_0.wav,go
2667,data\go\56eb74ae_nohash_1.wav,go
2668,data\go\56eb74ae_nohash_2.wav,go
2669,data\go\56eb74ae_nohash_3.wav,go
2670,data\go\56eb74ae_nohash_4.wav,go
2671,data\go\56f8a100_nohash_0.wav,go
2672,data\go\56f8a100_nohash_1.wav,go
2673,data\go\5705a0f9_nohash_0.wav,go
2674,data\go\571c044e_nohash_0.wav,go
2675,data\go\571c044e_nohash_1.wav,go
2676,data\go\57376a4c_nohash_0.wav,go
2677,data\go\57b68383_nohash_0.wav,go
2678,data\go\5828dfa2_nohash_0.wav,go
2679,data\go\5828dfa2_nohash_1.wav,go
2680,data\go\589bce2c_nohash_0.wav,go
2681,data\go\589bce2c_nohash_1.wav,go
2682,data\go\590750e8_nohash_0.wav,go
2683,data\go\590750e8_nohash_1.wav,go
2684,data\go\590750e8_nohash_2.wav,go
2685,data\go\591d32f3_nohash_0.wav,go
2686,data\go\59fe87e6_nohash_0.wav,go
2687,data\go\59fe87e6_nohash_1.wav,go
2688,data\go\5a0bc987_nohash_0.wav,go
2689,data\go\5a0bc987_nohash_1.wav,go
2690,data\go\5a3712c9_nohash_0.wav,go
2691,data\go\5a9f7324_nohash_0.wav,go
2692,data\go\5aac2efa_nohash_0.wav,go
2693,data\go\5ac04a92_nohash_0.wav,go
2694,data\go\5b09db89_nohash_0.wav,go
2695,data\go\5b09db89_nohash_1.wav,go
2696,data\go\5b09db89_nohash_2.wav,go
2697,data\go\5b09db89_nohash_3.wav,go
2698,data\go\5b1db3ee_nohash_0.wav,go
2699,data\go\5b26c81b_nohash_0.wav,go
2700,data\go\5b26c81b_nohash_1.wav,go
2701,data\go\5ba724a7_nohash_0.wav,go
2702,data\go\5ba724a7_nohash_1.wav,go
2703,data\go\5be23def_nohash_0.wav,go
2704,data\go\5c237956_nohash_0.wav,go
2705,data\go\5c39594f_nohash_0.wav,go
2706,data\go\5c39594f_nohash_1.wav,go
2707,data\go\5c39594f_nohash_2.wav,go
2708,data\go\5c39594f_nohash_3.wav,go
2709,data\go\5c39594f_nohash_4.wav,go
2710,data\go\5c8af87a_nohash_0.wav,go
2711,data\go\5c8af87a_nohash_1.wav,go
2712,data\go\5c8af87a_nohash_2.wav,go
2713,data\go\5c8af87a_nohash_3.wav,go
2714,data\go\5c8af87a_nohash_4.wav,go
2715,data\go\5d0ab165_nohash_0.wav,go
2716,data\go\5de8f2f0_nohash_0.wav,go
2717,data\go\5e033479_nohash_0.wav,go
2718,data\go\5e1b34a6_nohash_0.wav,go
2719,data\go\5e3dde6b_nohash_0.wav,go
2720,data\go\5e3dde6b_nohash_1.wav,go
2721,data\go\5e3dde6b_nohash_2.wav,go
2722,data\go\5e3dde6b_nohash_3.wav,go
2723,data\go\5e3dde6b_nohash_4.wav,go
2724,data\go\5eb5fc74_nohash_0.wav,go
2725,data\go\5eb5fc74_nohash_1.wav,go
2726,data\go\5efb758c_nohash_0.wav,go
2727,data\go\5efb758c_nohash_1.wav,go
2728,data\go\5f1b1051_nohash_0.wav,go
2729,data\go\5f8e50a0_nohash_0.wav,go
2730,data\go\5f8e50a0_nohash_1.wav,go
2731,data\go\5fadb538_nohash_0.wav,go
2732,data\go\5fadb538_nohash_1.wav,go
2733,data\go\5fadb538_nohash_2.wav,go
2734,data\go\5fadb538_nohash_3.wav,go
2735,data\go\5fadb538_nohash_4.wav,go
2736,data\go\5fe4a278_nohash_0.wav,go
2737,data\go\5ff3f9a1_nohash_0.wav,go
2738,data\go\5ff3f9a1_nohash_1.wav,go
2739,data\go\6021f08b_nohash_0.wav,go
2740,data\go\6021f08b_nohash_1.wav,go
2741,data\go\60472d26_nohash_0.wav,go
2742,data\go\60472d26_nohash_1.wav,go
2743,data\go\6071a214_nohash_0.wav,go
2744,data\go\6071a214_nohash_1.wav,go
2745,data\go\6071a214_nohash_2.wav,go
2746,data\go\6078eb0d_nohash_0.wav,go
2747,data\go\611d2b50_nohash_0.wav,go
2748,data\go\611d2b50_nohash_1.wav,go
2749,data\go\611d2b50_nohash_2.wav,go
2750,data\go\611d2b50_nohash_3.wav,go
2751,data\go\611d2b50_nohash_4.wav,go
2752,data\go\6166ae21_nohash_0.wav,go
2753,data\go\617de221_nohash_0.wav,go
2754,data\go\617de221_nohash_1.wav,go
